landmark_id,canonical_name,landmark_type,historical_era,geographic_region,city,architectural_style,coordinates_lat,coordinates_lon
1,6_October_Bridge,Bridge,Contemporary,Greater Cairo,Cairo,Contemporary,30.0444,31.2357
2,Abdeen_Palace,Palace,Ottoman,Greater Cairo,Cairo,Ottoman,30.0444,31.2357
3,Abu_Ghurab,Archaeological Site,Pharaonic,Greater Cairo,Abu Ghurab,Ancient Egyptian,29.8971,31.1928
4,Abu_Haggag_Mosque,Mosque,Islamic,Upper Egypt,Luxor,Islamic,25.6872,32.6396
5,Abu_Qir_Bay,Natural Site,Natural,Alexandria,Alexandria,N/A,31.2001,29.9187
6,Abu_el-Abbas_el-Mursi_Mosque,Mosque,Islamic,Alexandria,Alexandria,Islamic,31.2001,29.9187
7,Agiba_beach,Natural Site,Natural,Alexandria,Marsa Matrouh,N/A,31.3453,27.2374
8,Aguilkia_Island,Natural Site,Pharaonic,Upper Egypt,Aswan,Ancient Egyptian,24.0889,32.8998
9,Ahmed_Shawki_Museum,Museum,Contemporary,Greater Cairo,Cairo,Contemporary,30.0444,31.2357
10,Al-Aqmar_Mosque,Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
11,Al-Ashraf_Mosque,Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
12,Al-Azhar_Park_(Cairo),Garden/Park,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
13,Al-Fath_Mosque,Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
14,Al-Ghuri_Complex,Complex,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
15,Al-Jawhara_Palace_museum,Museum,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
16,Al-Manyal_Palace_Museum,Museum,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
17,Al-Nur_Mosque,Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
18,Al-Qurn,Natural Site,Natural,Upper Egypt,Luxor,N/A,25.6872,32.6396
19,Al-Rifa'i_Mosque,Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
20,Al-Salih_Tala'i_Mosque,Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
21,Al-Sayeda_Nafeesah_Mosque,Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
22,Al-Sayeda_Zainab_Mosque,Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
23,Al-Shate'e_Mosque,Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
24,Al_Fattah_Al_Alim_Mosque_(Cairo),Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
25,Alexandria_National_Museum,Museum,Contemporary,Alexandria,Alexandria,Contemporary,31.2001,29.9187
26,Alexandria_Opera_House,Opera House,Contemporary,Alexandria,Alexandria,Contemporary,31.2001,29.9187
27,Alexandria_Port,Infrastructure,Islamic,Alexandria,Alexandria,Islamic,31.2001,29.9187
28,Alexandria_Stadium,Stadium,Contemporary,Alexandria,Alexandria,Contemporary,31.2001,29.9187
29,Alexandria_Zoo,Garden/Park,Contemporary,Alexandria,Alexandria,Contemporary,31.2001,29.9187
30,Amada,Temple,Pharaonic,Upper Egypt,Nubia,Ancient Egyptian,22.3372,31.6258
31,Amir_Taz_Palace,Palace,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
32,Amr_Ibn_al-Aas_Mosque_(Damietta),Mosque,Islamic,Nile Delta,Damietta,Islamic,31.4165,31.8133
33,Antoniadis_Palace,Palace,Contemporary,Alexandria,Alexandria,Contemporary,31.2001,29.9187
34,Aqsunqur_Mosque,Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
35,Aquarium_Grotto_Garden,Garden/Park,Contemporary,Alexandria,Alexandria,Contemporary,31.2001,29.9187
36,Aswan_Botanical_Garden,Garden/Park,Contemporary,Upper Egypt,Aswan,Contemporary,24.0889,32.8998
37,Aswan_High_Dam,Dam,Contemporary,Upper Egypt,Aswan,Contemporary,24.0889,32.8998
38,Aswan_Low_Dam,Dam,Contemporary,Upper Egypt,Aswan,Contemporary,24.0889,32.8998
39,Aswan_Museum,Museum,Contemporary,Upper Egypt,Aswan,Contemporary,24.0889,32.8998
40,Attarine_Mosque,Mosque,Islamic,Alexandria,Alexandria,Islamic,31.2001,29.9187
41,Bab_Zuwayla,Gate,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
42,Bab_al-Futuh,Gate,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
43,Bab_al-Nasr_(Cairo),Gate,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
44,Bagawat,Necropolis,Coptic/Byzantine,Western Desert,Kharga,Coptic,25.4486,30.5559
45,Bahr_Yousef_canal,Canal,Islamic,Middle Egypt,Faiyum,Islamic,29.3084,30.8428
46,Baron_Empain_Palace,Palace,Ottoman,Greater Cairo,Cairo,Ottoman,30.0444,31.2357
47,Bayt_Al-Suhaymi,Historic House,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
48,Ben_Ezra_Synagogue,Synagogue,Medieval,Greater Cairo,Cairo,Medieval,30.0444,31.2357
49,Beni_Hassan,Tomb,Pharaonic,Upper Egypt,Minya,Ancient Egyptian,28.1099,30.7503
50,Bent_Pyramid,Pyramid,Pharaonic,Greater Cairo,Dahshur,Ancient Egyptian,29.7911,31.2102
51,Bibliotheca_Alexandrina,Library,Contemporary,Alexandria,Alexandria,Contemporary,31.2001,29.9187
52,Bibliotheca_Alexandrina_planetarium,Library,Contemporary,Alexandria,Alexandria,Contemporary,31.2001,29.9187
53,Black_Pyramid_of_Amenemhat_III,Pyramid,Pharaonic,Greater Cairo,Dahshur,Ancient Egyptian,29.7911,31.2102
54,Blue_Hole_(Red_Sea),Natural Site,Natural,Sinai,Dahab,N/A,28.5097,34.5149
55,Borg_El_Arab_Stadium,Stadium,Contemporary,Alexandria,Alexandria,Contemporary,31.2001,29.9187
56,Cairo_Citadel,Fortress,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
57,Cairo_International_Stadium,Stadium,Contemporary,Greater Cairo,Cairo,Contemporary,30.0444,31.2357
58,Cairo_Opera_House,Opera House,Contemporary,Greater Cairo,Cairo,Contemporary,30.0444,31.2357
59,"Cathedral_of_St._Mark,_Alexandria",Church,Coptic/Byzantine,Alexandria,Alexandria,Coptic,31.2001,29.9187
60,Children's_Civilisation_and_Creativity_Centre,Museum,Contemporary,Greater Cairo,Cairo,Contemporary,30.0444,31.2357
61,Citadel_of_Qaitbay,Fortress,Islamic,Alexandria,Alexandria,Islamic,31.2001,29.9187
62,City_of_the_dead_(Cairo),Tomb,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
63,Collections_of_the_Imhotep_Museum_in_Saqqara,Museum,Pharaonic,Greater Cairo,Saqqara,Ancient Egyptian,29.8712,31.2165
64,Colossi_of_Memnon,Monument,Pharaonic,Upper Egypt,Luxor,Ancient Egyptian,25.6872,32.6396
65,Coloured_Canyon,Natural Site,Natural,Sinai,Sinai,N/A,29.5,33.5
66,Coptic_Museum_in_Cairo,Museum,Coptic/Byzantine,Greater Cairo,Cairo,Coptic,30.0444,31.2357
67,Corniche_(Alexandria),Neighborhood,Contemporary,Alexandria,Alexandria,Contemporary,31.2001,29.9187
68,"Crystal_Mountain,_White_Desert",Natural Site,Natural,Western Desert,Bahariya,N/A,28.3394,28.868
69,Deir_el-Bahari,Temple,Pharaonic,Upper Egypt,Luxor,Ancient Egyptian,25.6872,32.6396
70,Deir_el-Medina,Archaeological Site,Pharaonic,Upper Egypt,Luxor,Ancient Egyptian,25.6872,32.6396
71,Deir_el-Muharraq,Monastery,Coptic/Byzantine,Upper Egypt,Assiut,Coptic,27.1808,31.1837
72,Deir_el-Qadisa_Damyana,Monastery,Coptic/Byzantine,Nile Delta,Damietta,Coptic,31.4165,31.8133
73,Dendera_Temple_complex,Temple,Pharaonic,Upper Egypt,Qena,Ancient Egyptian,26.1551,32.716
74,Desouk_Stadium,Stadium,Contemporary,Nile Delta,Desouk,Contemporary,31.1282,30.6433
75,Dra_Abu_el-Naga,Tomb,Pharaonic,Upper Egypt,Luxor,Ancient Egyptian,25.6872,32.6396
76,Dream_Park,Garden/Park,Contemporary,Greater Cairo,Cairo,Contemporary,30.0444,31.2357
77,EL-Safa_Park,Garden/Park,Contemporary,Greater Cairo,Cairo,Contemporary,30.0444,31.2357
78,Edfu_Temple,Temple,Pharaonic,Upper Egypt,Edfu,Ancient Egyptian,24.9779,32.875
79,Egyptian_Geological_Museum,Museum,Contemporary,Greater Cairo,Cairo,Contemporary,30.0444,31.2357
80,Egyptian_Museum_(Cairo),Museum,Contemporary,Greater Cairo,Cairo,Contemporary,30.0444,31.2357
81,Egyptian_National_Library,Library,Contemporary,Greater Cairo,Cairo,Contemporary,30.0444,31.2357
82,Egyptian_National_Military_Museum,Museum,Contemporary,Greater Cairo,Cairo,Contemporary,30.0444,31.2357
83,"El-Bahr_mosque,_Dumyat",Mosque,Islamic,Nile Delta,Damietta,Islamic,31.4165,31.8133
84,"El-Ma'eini_mosque,_Dumyat",Mosque,Islamic,Nile Delta,Damietta,Islamic,31.4165,31.8133
85,El_Alamein_Military_Museum,Museum,Contemporary,Nile Delta,El Alamein,Contemporary,30.8399,28.9551
86,El_Ferdan_Railway_Bridge,Bridge,Contemporary,Canal Zone,Ismailia,Contemporary,30.5852,32.2654
87,Elephantine,Natural Site,Pharaonic,Upper Egypt,Aswan,Ancient Egyptian,24.0889,32.8998
88,Eliyahu_Hanavi_Synagogue_(Alexandria),Synagogue,Contemporary,Alexandria,Alexandria,Contemporary,31.2001,29.9187
89,Emir_Qurqumas_complex,Complex,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
90,Esna_Temple,Temple,Pharaonic,Upper Egypt,Esna,Ancient Egyptian,25.2934,32.556
91,Faiyum_Zoo,Garden/Park,Contemporary,Middle Egypt,Faiyum,Contemporary,29.3084,30.8428
92,Famine_stele,Monument,Pharaonic,Upper Egypt,Aswan,Ancient Egyptian,24.0889,32.8998
93,Fatima_Khatun_Mosque,Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
94,Fatimid_Cemetery_in_Aswan,Tomb,Islamic,Upper Egypt,Aswan,Islamic,24.0889,32.8998
95,"Garden_City,_Cairo",Neighborhood,Contemporary,Greater Cairo,Cairo,Contemporary,30.0444,31.2357
96,Gayer-Anderson_Museum,Museum,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
97,Gebel_el-Silsila,Natural Site,Pharaonic,Upper Egypt,Kom Ombo,Ancient Egyptian,24.4524,32.9279
98,"Gebel_el-Teir,_el-Kharga",Natural Site,Islamic,Western Desert,Kharga,Islamic,25.4486,30.5559
99,Gezira,Neighborhood,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
100,Gezira_Center_for_Modern_Art,Museum,Contemporary,Greater Cairo,Cairo,Contemporary,30.0444,31.2357
101,Gidi_Pass,Natural Site,Natural,Sinai,Sinai,N/A,29.5,33.5
102,Gilf_Kebir_Plateau,Natural Site,Prehistoric,Western Desert,Western Desert,Prehistoric,26.0,28.0
103,"Giyushi_Mosque,_Cairo",Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
104,Giza_Plateau,Archaeological Site,Pharaonic,Greater Cairo,Giza,Ancient Egyptian,29.9765,31.1313
105,Giza_Zoo,Garden/Park,Contemporary,Greater Cairo,Giza,Contemporary,29.9765,31.1313
106,Giza_pyramid_complex,Complex,Pharaonic,Greater Cairo,Giza,Ancient Egyptian,29.9765,31.1313
107,Grand_Egyptian_Museum,Museum,Contemporary,Greater Cairo,Giza,Contemporary,29.9765,31.1313
108,Great_Hypostyle_Hall_of_Karnak,Temple,Pharaonic,Upper Egypt,Luxor,Ancient Egyptian,25.6872,32.6396
109,Great_Pyramid_of_Giza,Pyramid,Pharaonic,Greater Cairo,Giza,Ancient Egyptian,29.9765,31.1313
110,Great_Sphinx_of_Giza,Monument,Pharaonic,Greater Cairo,Giza,Ancient Egyptian,29.9765,31.1313
111,Great_Temple_of_the_Aten,Temple,Pharaonic,Upper Egypt,Minya,Ancient Egyptian,28.1099,30.7503
112,"Greco-Roman_Museum,_Alexandria",Museum,Greco-Roman,Alexandria,Alexandria,Greco-Roman,31.2001,29.9187
113,"Greek_Orthodox_Cathedral_of_Evangelismos,_Alexandria",Church,Coptic/Byzantine,Alexandria,Alexandria,Coptic,31.2001,29.9187
114,Green_Island_(Egypt),Natural Site,Natural,Alexandria,Alexandria,N/A,31.2001,29.9187
115,Hanging_Church_(Cairo),Church,Coptic/Byzantine,Greater Cairo,Cairo,Coptic,30.0444,31.2357
116,Hatem_Mosque,Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
117,Heliopolis_Palace,Palace,Ottoman,Greater Cairo,Cairo,Ottoman,30.0444,31.2357
118,Hurghada_Grand_Aquarium,Garden/Park,Contemporary,Red Sea Coast,Hurghada,Contemporary,27.2579,33.8116
119,Islamic_Cairo,Neighborhood,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
120,Island_of_Bigeh,Natural Site,Pharaonic,Upper Egypt,Aswan,Ancient Egyptian,24.0889,32.8998
121,KV17,Tomb,Pharaonic,Upper Egypt,Luxor,Ancient Egyptian,25.6872,32.6396
122,KV62,Tomb,Pharaonic,Upper Egypt,Luxor,Ancient Egyptian,25.6872,32.6396
123,Karnak_precinct_of_Amun-Ra,Temple,Pharaonic,Upper Egypt,Luxor,Ancient Egyptian,25.6872,32.6396
124,Khan_el-Khalili,Market,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
125,Khayrbak_Mosque,Mosque,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
126,Kiosk_of_Qertassi,Temple,Pharaonic,Upper Egypt,Aswan,Ancient Egyptian,24.0889,32.8998
127,Kiosk_of_Trajan_in_Philae,Temple,Greco-Roman,Upper Egypt,Aswan,Greco-Roman,24.0889,32.8998
128,Kitchener's_Island,Natural Site,Contemporary,Upper Egypt,Aswan,Contemporary,24.0889,32.8998
129,Kom_el-Shoqafa,Tomb,Greco-Roman,Alexandria,Alexandria,Greco-Roman,31.2001,29.9187
130,Koubbeh_Palace,Palace,Ottoman,Greater Cairo,Cairo,Ottoman,30.0444,31.2357
131,Lake_Timsah,Natural Site,Natural,Canal Zone,Ismailia,N/A,30.5852,32.2654
132,Layer_Pyramid,Pyramid,Pharaonic,Greater Cairo,Zawiyet el-Aryan,Ancient Egyptian,29.9447,31.18
133,Luxor_Museum,Museum,Contemporary,Upper Egypt,Luxor,Contemporary,25.6872,32.6396
134,Luxor_Temple,Temple,Pharaonic,Upper Egypt,Luxor,Ancient Egyptian,25.6872,32.6396
135,Madrasah_of_Al-Nasir_Muhammad,Madrassa,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
136,Madrasah_of_Sarghatmish,Madrassa,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
137,Mahmoud_Khalil_Museum,Museum,Islamic,Greater Cairo,Cairo,Islamic,30.0444,31.2357
138,Mallawi_Museum,Museum,Contemporary,Upper Egypt,Mallawi,Contemporary,27.7338,30.8442
139,Mastabat_al-Fir'aun,Pyramid,Pharaonic,Greater Cairo,Saqqara,Ancient Egyptian,29.8712,31.2165
140,Mausoleum_of_Aga_Khan,Tomb,Islamic,Upper Egypt,Aswan,Islamic,24.0889,32.8998
141,Medinet_Madi,Temple,Pharaonic,Middle Egypt,Faiyum,Ancient Egyptian,29.3084,30.8428
142,Meidum,Pyramid,Pharaonic,Middle Egypt,Beni Suef,Ancient Egyptian,29.0661,31.0994
